" "," ","Consolidated Metropolitan Statistical Area","Total:  Owner occupied:"
"Anniston, Alabama", ,99,32845
"Auburn--Opelika, Alabama", ,99,28376
"Birmingham, Alabama", ,99,255492
"Columbus, Alabama", ,99,12328
"Decatur, Alabama", ,99,43127
"Dothan, Alabama", ,99,37020
"Florence, Alabama", ,99,43438
"Gadsden, Alabama", ,99,30957
"Huntsville, Alabama", ,99,95899
"Mobile, Alabama", ,99,147438
"Montgomery, Alabama", ,99,86568
"Tuscaloosa, Alabama", ,99,40958
"Anchorage, Alaska", ,99,56933
"Flagstaff, Arizona", ,99,24828
"Las Vegas, Arizona", ,99,46229
"Phoenix--Mesa, Arizona", ,99,812085
"Tucson, Arizona", ,99,213620
"Yuma, Arizona", ,99,38886
"Fayetteville--Springdale--Rogers, Arkansas", ,99,77776
"Fort Smith, Arkansas", ,99,43737
"Jonesboro, Arkansas", ,99,20649
"Little Rock--North Little Rock, Arkansas", ,99,152203
"Memphis, Arkansas", ,99,11138
"Pine Bluff, Arkansas", ,99,20209
"Texarkana, Arkansas", ,99,10624
"Bakersfield, California", ,99,129661
"Chico--Paradise, California", ,99,48333
"Fresno, California", ,99,166805
"Los Angeles--Riverside--Orange County, California", ,49,2927753
"Merced, California", ,99,37475
"Modesto, California", ,99,89911
"Redding, California", ,99,41949
"Sacramento--Yolo, California", ,82,407721
"Salinas, California", ,99,66266
"San Diego, California", ,99,551489
"San Francisco--Oakland--San Jose, California", ,84,1478689
"San Luis Obispo--Atascadero--Paso Robles, California", ,99,56992
"Santa Barbara--Santa Maria--Lompoc, California", ,99,76579
"Stockton--Lodi, California", ,99,109671
"Visalia--Tulare--Porterville, California", ,99,67904
"Yuba City, California", ,99,27703
"Colorado Springs, Colorado", ,99,124443
"Denver--Boulder--Greeley, Colorado", ,34,666592
"Fort Collins--Loveland, Colorado", ,99,65744
"Grand Junction, Colorado", ,99,33306
"Pueblo, Colorado", ,99,38434
"Boston--Worcester--Lawrence, Connecticut", ,7,2792
"Hartford, Connecticut", ,99,301868
"New London--Norwich, Connecticut", ,99,67550
"New York--Northern New Jersey--Long Island, Connecticut", ,70,454687
"Dover, Delaware", ,99,33048
"Philadelphia--Wilmington--Atlantic City, Delaware", ,77,132493
"Washington--Baltimore, District of Columbia", ,97,101216
"Daytona Beach, Florida", ,99,156937
"Fort Myers--Cape Coral, Florida", ,99,144256
"Fort Pierce--Port St. Lucie, Florida", ,99,104166
"Fort Walton Beach, Florida", ,99,43972
"Gainesville, Florida", ,99,48084
"Jacksonville, Florida", ,99,286463
"Lakeland--Winter Haven, Florida", ,99,137373
"Melbourne--Titusville--Palm Bay, Florida", ,99,147878
"Miami--Fort Lauderdale, Florida", ,56,903958
"Naples, Florida", ,99,77829
"Ocala, Florida", ,99,85171
"Orlando, Florida", ,99,414548
"Panama City, Florida", ,99,40892
"Pensacola, Florida", ,99,109888
"Punta Gorda, Florida", ,99,53444
"Sarasota--Bradenton, Florida", ,99,201474
"Tallahassee, Florida", ,99,67393
"Tampa--St. Petersburg--Clearwater, Florida", ,99,714394
"West Palm Beach--Boca Raton, Florida", ,99,354024
"Albany, Georgia", ,99,25455
"Athens, Georgia", ,99,31833
"Atlanta, Georgia", ,99,999647
"Augusta--Aiken, Georgia", ,99,74051
"Chattanooga, Georgia", ,99,38436
"Columbus, Georgia", ,99,47787
"Macon, Georgia", ,99,79479
"Savannah, Georgia", ,99,71471
"Honolulu, Hawaii", ,99,156233
"Boise City, Idaho", ,99,113143
"Pocatello, Idaho", ,99,19207
"Bloomington--Normal, Illinois", ,99,37707
"Champaign--Urbana, Illinois", ,99,39334
"Chicago--Gary--Kenosha, Illinois", ,14,1946793
