Store_Nbr,City,State,ZIP_Code,ZipRev
3,ANCHORAGE              ,AK,13178,99504
4,APPLETON               ,WI,29367,54914
5,ARVADA                 ,CO,33903,80002
15,CHESAPEAKE             ,VA,56209,23320
16,CHESTERFIELD           ,MO,55854,63005
17,CICERO                 ,KS,47045,67209
18,CINCINNATI             ,OH,56203,45209
19,CINCINNATI             ,OH,50289,45247
20,CITY OF INDUSTRY       ,KS,55692,67401
21,CLARKSVILLE            ,TN,45289,37040
22,CLEARWATER             ,FL,54000,33765
23,COLUMBUS               ,OH,46920,43026
24,CONCORD                ,OH,61581,44060
25,CONROE                 ,TX,39578,77304
26,CORAL SPRINGS          ,FL,77279,33071
27,CRYSTAL LAKE           ,IL,60791,60012
28,DALLAS                 ,TX,74910,75231
29,DAYTONA BEACH          ,FL,24071,32119
