Municipality,State,Pop2000,LandArea2000,PopDensity2000,Pop1990,PopChange,,
Birmingham,Alabama,"242,820",149.9,"1,620","265,968",-8.70%,,
Decatur AL,Alabama,"53,929",53.4,"1,010","48,761",10.60%,,
Dothan,Alabama,"57,737",86.6,667,"53,589",7.70%,,
Hoover,Alabama,"62,742",43.1,"1,454","39,788",57.70%,,
Huntsville,Alabama,"158,216",174.1,909,"159,789",-1.00%,,
Mobile,Alabama,"198,915",117.9,"1,687","196,278",1.30%,,
Montgomery,Alabama,"201,568",155.4,"1,297","187,106",7.70%,,
Tuscaloosa,Alabama,"77,906",56.2,"1,385","77,759",0.20%,,
Anchorage,Alaska,"260,283","1,697.30",153,"226,338",15.00%,,
Chandler,Arizona,"176,581",57.9,"3,050","90,533",95.00%,,
Flagstaff,Arizona,"52,894",63.6,832,"45,857",15.30%,,
Gilbert,Arizona,"109,697",43,"2,554","29,188",275.80%,,
Glendale AZ,Arizona,"218,812",55.7,"3,929","148,134",47.70%,,
Mesa,Arizona,"396,375",125,"3,171","288,091",37.60%,,
Peoria AZ,Arizona,"108,364",138.2,784,"50,618",114.10%,,
Phoenix,Arizona,"1,321,045",474.9,"2,782","983,403",34.30%,,
Scottsdale,Arizona,"202,705",184.2,"1,100","130,069",55.80%,,
Tempe,Arizona,"158,625",40.1,"3,959","141,865",11.80%,,
Tucson,Arizona,"486,699",194.7,"2,500","405,390",20.10%,,
Yuma,Arizona,"77,515",106.7,727,"54,923",41.10%,,
Fayetteville AR,Arkansas,"58,047",43.4,"1,337","42,099",37.90%,,
Fort Smith,Arkansas,"80,268",50.4,"1,594","72,798",10.30%,,
Jonesboro,Arkansas,"55,515",79.6,697,"46,535",19.30%,,
Little Rock,Arkansas,"183,133",116.2,"1,576","175,795",4.20%,,
North Little Rock,Arkansas,"60,433",44.8,"1,349","61,741",-2.10%,,
Pine Bluff,Arkansas,"55,085",45.6,"1,208","57,140",-3.60%,,
Alameda,California,"72,259",10.8,"6,693","76,459",-5.50%,,
Alhambra,California,"85,804",7.6,"11,257","82,106",4.50%,,
Anaheim,California,"328,014",48.9,"6,702","266,406",23.10%,,
Antioch,California,"90,532",26.9,"3,359","62,195",45.60%,,
Apple Valley,California,"54,239",73.3,740,"46,079",17.70%,,
Arcadia,California,"53,054",11,"4,830","48,290",9.90%,,
Bakersfield,California,"247,057",113.1,"2,184","174,820",41.30%,,
Baldwin Park,California,"75,837",6.7,"11,378","69,330",9.40%,,
Bellflower,California,"72,878",6.1,"11,999","61,815",17.90%,,
Berkeley,California,"102,743",10.5,"9,823","102,724",0.00%,,
Buena Park,California,"78,282",10.6,"7,403","68,784",13.80%,,
Burbank,California,"100,316",17.3,"5,782","93,643",7.10%,,
Camarillo,California,"57,077",18.9,"3,015","52,303",9.10%,,
Carlsbad,California,"78,247",37.4,"2,090","63,126",24.00%,,
Carson,California,"89,730",18.8,"4,762","83,995",6.80%,,
Cerritos,California,"51,488",8.6,"5,974","53,240",-3.30%,,
Chico,California,"59,954",27.7,"2,161","40,079",49.60%,,
Chino,California,"67,168",21.1,"3,190","59,682",12.50%,,
Chino Hills,California,"66,787",44.8,"1,490","27,608",141.90%,,
Chula Vista,California,"173,556",48.9,"3,551","135,163",28.40%,,
Citrus Heights,California,"85,071",14.3,"5,929","107,439",-20.80%,,
Clovis,California,"68,468",17.1,"4,000","50,323",36.10%,,
Compton,California,"93,493",10.1,"9,225","90,454",3.40%,,
Concord CA,California,"121,780",30.1,"4,041","111,348",9.40%,,
Corona,California,"124,966",35.1,"3,555","76,095",64.20%,,
Costa Mesa,California,"108,724",15.6,"6,956","96,357",12.80%,,
Cupertino,California,"50,546",10.9,"4,620","40,263",25.50%,,
Daly,California,"103,621",7.6,"13,703","92,311",12.30%,,
Davis,California,"60,308",10.5,"5,769","46,209",30.50%,,
Diamond Bar,California,"56,287",14.8,"3,813","53,672",4.90%,,
Downey,California,"107,323",12.4,"8,641","91,444",17.40%,,
El Cajon,California,"94,869",14.6,"6,510","88,693",7.00%,,
El Monte,California,"115,965",9.6,"12,139","106,209",9.20%,,
Encinitas,California,"58,014",19.1,"3,035","55,386",4.70%,,
Escondido,California,"133,559",36.3,"3,681","108,635",22.90%,,
Fairfield,California,"96,178",37.7,"2,554","77,211",24.60%,,
Folsom,California,"51,884",21.7,"2,387","29,802",74.10%,,
Fontana,California,"128,929",36.1,"3,570","87,535",47.30%,,
Fountain Valley,California,"54,978",8.9,"6,167","53,691",2.40%,,
Fremont,California,"203,413",76.7,"2,652","173,339",17.30%,,
Fresno,California,"427,652",104.4,"4,097","354,202",20.70%,,
Fullerton,California,"126,003",22.2,"5,676","114,144",10.40%,,
Garden Grove,California,"165,196",18,"9,165","143,050",15.50%,,
Gardena,California,"57,746",5.8,"9,921","49,847",15.80%,,
Glendale CA,California,"194,973",30.6,"6,362","180,038",8.30%,,
Hawthorne,California,"84,112",6.1,"13,878","71,349",17.90%,,
Hayward,California,"140,030",44.3,"3,158","111,498",25.60%,,
Hemet,California,"58,812",25.6,"2,294","36,094",62.90%,,
Hesperia,California,"62,582",67.4,929,"50,418",24.10%,,
Huntington Beach,California,"189,594",26.4,"7,183","181,519",4.40%,,
Huntington Park,California,"61,348",3,"20,251","56,065",9.40%,,
Inglewood,California,"112,580",9.1,"12,323","109,602",2.70%,,
Irvine,California,"143,072",46.2,"3,098","110,330",29.70%,,
La Habra,California,"58,974",7.3,"8,045","51,266",15.00%,,
La Mesa,California,"54,749",9.3,"5,909","52,931",3.40%,,
Laguna Niguel,California,"61,891",14.7,"4,221","44,400",39.40%,,
Lake Forest,California,"58,707",12.5,"4,698","62,685",-6.30%,,
Lakewood CA,California,"79,345",9.4,"8,414","73,557",7.90%,,
Lancaster CA,California,"118,718",94,"1,263","97,291",22.00%,,
Livermore,California,"73,345",23.9,"3,066","56,741",29.30%,,
Lodi,California,"56,999",12.2,"4,658","51,874",9.90%,,
Long Beach,California,"461,522",50.4,"9,149","429,433",7.50%,,
Los Angeles,California,"3,694,820",469.1,"7,876","3,485,398",6.00%,,
Lynwood,California,"69,845",4.9,"14,388","61,945",12.80%,,
Merced,California,"63,893",19.9,"3,216","56,216",13.70%,,
Milpitas,California,"62,698",13.6,"4,623","50,686",23.70%,,
Mission Viejo,California,"93,102",18.7,"4,990","72,820",27.90%,,
Modesto,California,"188,856",35.8,"5,277","164,730",14.60%,,
Montebello,California,"62,150",8.2,"7,536","59,564",4.30%,,
Monterey Park,California,"60,051",7.6,"7,869","60,738",-1.10%,,
Moreno Valley,California,"142,381",51.2,"2,779","118,779",19.90%,,
Mountain View,California,"70,708",12.1,"5,861","67,460",4.80%,,
Napa,California,"72,585",17.7,"4,101","61,842",17.40%,,
National,California,"54,260",7.4,"7,343","54,249",0.00%,,
Newport Beach,California,"70,032",14.8,"4,738","66,643",5.10%,,
Norwalk CA,California,"103,298",9.7,"10,667","94,279",9.60%,,
Oakland,California,"399,484",56.1,"7,126","372,242",7.30%,,
Oceanside,California,"161,029",40.6,"3,967","128,398",25.40%,,
Ontario,California,"158,007",49.8,"3,174","133,179",18.60%,,
Orange,California,"128,821",23.4,"5,506","110,658",16.40%,,
Oxnard,California,"170,358",25.3,"6,729","142,216",19.80%,,
Palmdale,California,"116,670",105,"1,111","68,842",69.50%,,
Palo Alto,California,"58,598",23.7,"2,475","55,900",4.80%,,
Paramount,California,"55,266",4.7,"11,678","47,669",15.90%,,
Pasadena CA,California,"133,936",23.1,"5,798","131,591",1.80%,,
Petaluma,California,"54,548",13.8,"3,953","43,184",26.30%,,
Pico Rivera,California,"63,428",8.3,"7,645","59,177",7.20%,,
Pittsburg,California,"56,769",15.6,"3,639","47,564",19.40%,,
Pleasanton,California,"63,654",21.7,"2,938","50,553",25.90%,,
Pomona,California,"149,473",22.8,"6,544","131,723",13.50%,,
Rancho Cucamonga,California,"127,743",37.4,"3,411","101,409",26.00%,,
Redding,California,"80,865",58.4,"1,384","66,462",21.70%,,
Redlands,California,"63,591",35.5,"1,793","60,394",5.30%,,
