STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
9303,LOUISVILLE,KY,40216,LOUISVILLE-JEFFERSON COUNTY,1233735,38.188886,85.83137,-85.83137,34100,76.1,21.3
9002,NEW ORLEANS,LA,70127,NEW ORLEANS-METAIRIE-KENNER,1030363,30.033475,89.97736,-89.97736,20722,77.7,22.6
8304,TULSA,OK,74134,TULSA,905755,36.114797,95.82105,-95.82105,33920,83.7,23.2
7902,OXFORD,AL,36203,ANNISTON-OXFORD,113103,33.591301,85.83571,-85.83571,27820,73.9,15.2
2809,ST GEORGE,UT,84790,ST. GEORGE,133791,37.075039,113.55568,-113.55568,22299,87.8,22
3103,WICHITA,KS,67209,WICHITA,596452,37.67129,97.4372,-97.4372,33368,83.8,25.3
9302,BATON ROUGE,LA,70836,BATON ROUGE,770037,30.388292,91.08631,-91.08631,31630,81.9,24.9
1502,FT MYERS,FL,33901,CAPE CORAL-FORT MYERS,590564,26.62365,81.8727,-81.8727,34059,82.3,21.1
3307,AUSTIN,TX,78746,AUSTIN-ROUND ROCK,1598161,30.287739,97.8022,-97.8022,34005,84.8,36.7
3009,MURRAY,UT,84107,SALT LAKE CITY,1099973,40.659997,111.88394,-111.88394,33279,87.5,26.5
9609,LONGMONT,CO,80501,BOULDER,290262,40.171484,105.10033,-105.10033,45944,92.8,52.4
8404,TULSA,OK,74133,TULSA,905755,36.04309,95.88417,-95.88417,33920,83.7,23.2
9604,MIDWEST CITY,OK,73110,OKLAHOMA CITY,1192989,35.459478,97.39721,-97.39721,31630,83.6,24.4
303,ST. ANN,MO,63074,ST. LOUIS,2803707,38.727184,90.38551,-90.38551,36174,81.5,16.9
9704,SHAWNEE,OK,74804,OK NONMETROPOLITAN AREA,28692,35.375188,96.93162,-96.93162,27659,77.8,18.5
1102,BRADENTON,FL,34205,SARASOTA-BRADENTON-VENICE,687181,27.485617,82.58294,-82.58294,40112,84.7,24.6
